,TM Number,Period,Date String,Uncertain,Date (Start),Date (End),Provenance,Language
0,100024,Ptolemaic period,BC 332 - 30,False,-332,-30,Egypt,Demotic
1,100028,Ptolemaic period,BC 332 - 30,False,-332,-30,Pathyris (Gebelein),Demotic
2,100029,,BC 90 Jun 12 - Jul 11,False,-90,,Pathyris (Gebelein),Demotic
3,100030,,BC 255 Oct 20,False,-255,,Elephantine (Geziret Assuan),Demotic
4,100031,,BC 100 Sep 11,False,-100,,Pathyris (Gebelein),Demotic
5,100033,,BC 199 - 88,False,-199,-88,Pathyris (Gebelein),Demotic
6,100034,,BC 102 Aug 15?,True,-102,,Pathyris (Gebelein),Demotic
7,100037,,BC 332 - 210,False,-332,-210,Elephantine (Geziret Assuan),Demotic
8,100038,,BC 275 - 210,False,-275,-210,Memnoneia - Djeme (Thebes west),Demotic
9,100039,,BC 227 Jun 3,False,-227,,Elephantine (Geziret Assuan),Demotic
10,100040,,BC 108 Aug 4,False,-108,,Pathyris (Gebelein),Demotic
11,100043,,BC 332 - 240?,True,-332,-240,Egypt,Demotic
12,100044,Ptolemaic period,BC 332 - 30,False,-332,-30,Thebes,Demotic
13,100045,Ptolemaic period,BC 332 - 30,False,-332,-30,Thebes,Demotic
14,100046,Ptolemaic period,BC 332 - 30,False,-332,-30,Thebes,Demotic
15,100047,Ptolemaic period,BC 332 - 30,False,-332,-30,Thebes,Demotic
16,100048,late 2nd - early 3rd century AD,AD 175 - 225,False,175,225,Narmouthis (Medinet Madi),Demotic / Greek
17,100049,late 2nd - early 3rd century AD,AD 175 - 225,False,175,225,Narmouthis (Medinet Madi),Demotic / Greek
18,100050,late 2nd - early 3rd century AD,AD 175 - 225,False,175,225,Narmouthis (Medinet Madi),Demotic / Greek
19,100051,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Abydos,Demotic
20,100052,Ptolemaic period - Roman period,BC 332 - AD 284,False,-332,284,Dios Polis (Thebes east),Demotic / Greek?
21,100053,Ptolemaic period - Roman period,BC 332 - AD 284,False,-332,284,Egypt,Demotic / Greek?
22,100054,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Egypt,Demotic
23,100055,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Dios Polis (Thebes east),Demotic
24,100059,year 39 of Ptolemaeus VIII,BC 132 Sep 25 - 131 Sep 24,False,-132,-131,Apollonopolis (Edfu),Demotic
25,100106,consulate of Imp. Caesar L. Domitius Aurelianus Augustus and Pomponius Bassus II ?,AD 271?,True,271,,Memnoneia - Djeme (Thebes west),Demotic
26,100116,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Dios Polis (Tell el-Balamun),Demotic
27,100131,,BC 184 Feb 24?,True,-184,,Philadelpheia (Gharabet el-Gerza),Demotic
28,100132,,BC 234 Nov 20?,True,-234,,Magais,Demotic / Greek
29,100178,,BC 122 Oct 22 - Nov 20,False,-122,,Pathyris (Gebelein),Demotic
30,100179,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
31,100180,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
32,100181,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
33,100182,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
34,100183,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
35,100184,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
36,100185,,BC 150 - 30,False,-150,-30,Pathyris (Gebelein),Demotic
37,100203,first half 1st century AD,AD 1 - 50,False,1,50,Soknopaiou Nesos (Dimeh),Demotic
38,100205,,BC 664 - 332,False,-664,-332,Hermopolis (El-Ashmunein),Demotic
39,100206,,BC 664 - 332,False,-664,-332,Hermopolis (El-Ashmunein),Demotic
40,100207,second half 3rd century AD,AD 250 - 299,False,250,299,Thebes,Demotic
41,100209,,BC 305 - 200?,True,-305,-200,Abydos,Demotic
42,100210,Ptolemaic period,BC 332 - 30,False,-332,-30,Abydos,Demotic
43,100212,,BC 664 - 332,False,-664,-332,Gebel Abu Foda,Demotic?
44,100225,3rd century BC ?,BC 299 - 200?,True,-299,-200,Memnoneia - Djeme (Thebes west),Demotic
45,100226,,AD 71 Jun 20,False,71,,Soknopaiou Nesos (Dimeh),Demotic
46,100227,,AD 85 Oct 28 - Nov 26,False,85,,Soknopaiou Nesos (Dimeh),Demotic
